X,Y
0,1.1467699409212577
1,1.5144188517322608
2,0.6148252361962778
3,0.72639773787013
4,0.8118841884910872
5,1.1340036767850312
6,1.9895533199887052
7,1.3771035813612222
8,0.49649841054803456
9,1.2268211489917265
10,1.3766101961863926
11,1.2390824180033588
12,1.5825652804541623
13,1.5419283955833607
14,1.3804535242516927
15,2.0786008917948813
16,1.3974887361859096
17,1.761937633185301
18,0.6879114626781357
19,1.2381339470218107
20,0.8046338680103846
21,0.47649350572257043
22,0.4296315928654326
23,0.7033445523629211
24,1.7183678413324948
25,1.7874284994868628
26,1.3831343398138465
27,1.6545208470928288
28,1.081022080847351
29,0.71000916492208
30,0.983170394861669
31,0.5877580385797185
32,0.5349596610806358
33,1.0266923493909192
34,0.2860223537693658
35,1.2116719680410866
36,-0.27796972351159255
37,0.20114396497380493
38,-0.5048664681314932
39,-0.29565453137346964
40,-0.007559482307623405
41,0.28763246696191985
42,-0.683218601726382
43,0.14890640538367445
44,-0.743964662996556
45,0.16114055429862567
46,-1.3708803092224504
47,0.6288040032109554
48,-0.04504708218356887
49,0.3276955102123374
50,-0.8162061845824321
51,0.20698849275167902
52,-0.09387191501409536
53,-0.3396590005717318
54,0.7166284874340066
55,-0.09297351339228149
56,-0.41715210916466694
57,-0.36281245707416165
58,-1.129680118428525
59,-0.5359580467141238
60,-0.5117251530905894
61,-0.2934715729881121
62,0.08264239024074446
63,-0.054607202050484804
64,-0.034310235976251144
65,-0.8396955824723736
66,-0.07641356101526038
67,-0.782769756946563
68,0.49120588600546444
69,0.07213758083136007
70,-0.5111464883844288
71,-0.48387081627750134
72,0.8055112315741858
73,-0.669672029779399
74,-0.2585850644159442
75,-0.4028717683740232
76,0.2775134951336752
77,-0.623300989709556
78,-0.35079206147922476
79,-1.0932940745517674
80,0.16913455879591477
81,-0.6061737970703396
82,-0.35608080443954604
83,0.2629853611420589
84,-0.9608603147687466
85,0.20185259955741852
86,-0.10705779760781467
87,0.19299692657525652
88,-0.7552208990877831
89,-0.5712084924549627
90,-1.3006425426285817
91,-1.2145135688615316
92,-1.759009062504153
93,-2.0842551891832057
94,-1.7243937658328061
95,-1.3337487688153877
96,-2.146343191848519
97,-1.9719768284448727
98,-1.5015843186035378
99,-1.3355587858220674
100,-0.5279042914675152
101,-2.2408461701164373
102,-2.004262129719434
103,-0.873439157157561
104,-2.1052626037617133
105,-2.1834738103798133
106,-1.563364701692076
107,-1.2496484130898595
108,-0.4634676442253276
109,-1.377745201691774
110,-2.169029007338492
111,-0.8199356598928872
112,-1.3042829359386199
113,-1.3927287727612074
114,-2.38632533963721
115,-2.2866000194923277
116,-2.484720825716699
117,-1.9201628272498668
118,-1.330117343445018
119,-1.3736914355744294
120,-1.3056375153027846
121,-1.662290901419585
122,-1.0422140260814685
123,-1.6859875641248978
124,-1.2843810082069607
125,-1.3971350771663404
126,-2.4464921864389124
127,-1.6693794040205376
128,-2.042621756369286
129,-1.8153562298671488
130,-0.5771412271530696
131,-2.2990657491479323
132,-2.081917711368619
133,-1.3341436658389707
134,-1.965319246368147
135,-1.6889010880098925
136,-0.7408606226074
137,0.5340325323655434
138,-0.16829398494810616
139,-0.6649573013678863
140,0.21011173300859529
141,-0.3469515625426697
142,-0.0883505961504899
143,-0.3820335741942934
144,0.21254108323551216
145,0.441086601398324
146,0.8309248174851555
147,0.842068841186236
148,0.4993468622044259
149,-0.328065356530333
150,-0.18796323665002812
151,-0.10280232506767256
152,0.5833014047096268
153,0.5481325771622205
154,0.28996246251502295
155,1.135791379395306
156,-0.6496673893340807
157,-0.34528888303007577
158,0.2142397233447814
159,0.6590239698522024
160,-0.06186665637879596
161,0.6876691715080379
162,0.8880660809407582
163,-0.10135730392719916
164,0.5612829388108791
165,0.4925784540811301
166,0.7272844126975628
167,0.09482422688331035
168,0.05892037319974508
169,0.43448120440933974
170,0.0075683954415756705
171,-0.2564391649570896
172,0.053654032345870684
173,-0.7587659755831029
174,0.027071244112902987
175,0.5707645795274745
176,0.0827814757946429
177,0.04275269371321572
178,0.5106118419649195
179,-0.6316207615267455
180,0.506840939141538
181,0.7314521489644314
