X2,Y2
0,15.291985586249579
1,15.749690985961404
2,12.484616096199195
3,13.86760936263719
4,16.092928425575835
5,18.7871978622296
6,15.880908933666056
7,13.754261766421749
8,11.953099863779755
9,15.47266874095253
10,12.958407563347196
11,12.967953116636522
12,11.529063085999264
13,16.94063141927076
14,14.109023947396647
15,14.29232273665663
16,17.43207313410998
17,14.211907898987416
18,13.323780778198621
19,13.020371167517052
20,14.778207191013284
21,13.792006639234383
22,11.94823031074765
23,17.273656167714577
24,16.054106747503074
25,12.087921361161065
26,15.357814355821734
27,16.492813121922303
28,19.286290423573917
29,13.429559488521097
30,12.884190958629084
31,16.38035658977009
32,15.412571816085933
33,16.683694557223955
34,13.069033143852666
35,18.428838103194643
36,15.565989758781676
37,13.452574639241286
38,13.434343103017875
39,15.040176445325079
40,16.832340344199118
41,14.393448426991073
42,14.315838512315239
43,15.235177878032731
44,11.043946250584789
45,13.013154240496515
46,13.872523818272073
47,18.98965317908486
48,16.261483895123508
49,16.969056456909325
50,14.869151145570005
51,17.02830122234287
52,13.836889213152748
53,14.273580237889902
54,13.12670236083674
55,16.01013929753027
56,16.718093551064143
57,15.84550561903286
58,15.205461604783045
59,13.578900921257986
60,12.88324911838313
61,14.971990084578945
62,15.010338197432729
63,15.178147158496435
64,14.320426140203045
65,15.17015005527677
66,14.16302352187353
67,14.853279314638298
68,15.120510577399413
69,14.664985867047356
70,15.368758297132459
71,14.358215960285197
72,14.664606447700283
73,14.77768028480734
74,14.281589311825234
75,14.367933496564241
76,13.919167174778437
77,14.790238321413952
78,14.486093622883457
79,14.663283935087048
80,15.303268469083092
81,14.281607872996176
82,14.651552142982938
83,14.625249102299502
84,14.57396632622859
85,14.698340182333641
86,15.092276401807423
87,14.630016772931413
88,15.266129484147937
89,15.090506244770799
90,14.52196422117327
91,14.086654641274484
92,14.66355106029549
93,14.38932651812402
94,14.907465433675915
95,15.063658022653339
96,14.614528929761539
97,14.918304542161003
98,14.316573544310888
99,15.019460419633132
100,14.233895048631524
101,15.366785874122328
102,15.073569243503092
103,14.58756332228448
104,14.432121176305133
105,14.973900414137654
106,14.44265661242808
107,14.980897567960673
108,14.881174196196739
109,14.780859112376302
110,14.76114888151685
111,14.882601751553471
